TAZ,longitude_center,latitude_center,TAZ12_TEXT,RSA,CAA,ACRES,Area_SQMI
637,-118.07989897,33.77995253,0637,35,20,455.547737,0.71179195
638,-118.09357761,33.77927968,0638,35,20,134.860839,0.2107168
639,-118.05852379,33.77808604,0639,35,21,587.874332,0.91855462
640,-118.08778959,33.76523935,0640,38,31,326.094918,0.50953147
641,-118.08331037,33.7701027,0641,38,31,277.931436,0.43426776
642,-118.06010001,33.76677214,0642,38,31,1311.722724,2.04955391
643,-118.09271352,33.75407816,0643,38,31,360.465806,0.56323935
644,-118.06629853,33.74386281,0644,38,31,3642.277664,5.6910253
645,-118.10831907,33.746926,0645,38,31,82.100884,0.12827381
646,-118.09814258,33.74729619,0646,38,31,155.280272,0.24261905
647,-118.10612495,33.74076385,0647,38,31,202.688683,0.31670099
648,-118.10019398,33.74165629,0648,38,31,70.8269,0.11066701
649,-118.09713105,33.7436472,0649,38,31,56.018622,0.08752908
650,-118.03010699,33.77049308,0650,38,32,266.017935,0.41565311
651,-118.03588994,33.76478438,0651,38,32,428.154372,0.66898829
652,-118.01168746,33.76878293,0652,38,32,251.662968,0.39322326
653,-118.00295443,33.77014043,0653,38,32,165.457909,0.25852792
